hero,map,map_type,mode,pickrate,winrate
Zarya,Numbani,Hybrid,Competitive - Role Queue,4.3,0.46799999999999997
Zenyatta,Numbani,Hybrid,Competitive - Role Queue,11.2,0.545
Sierra,Paraíso,Hybrid,Competitive - Role Queue,52.9,0.526
Ramattra,Paraíso,Hybrid,Competitive - Role Queue,10.3,0.517
Ana,Paraíso,Hybrid,Competitive - Role Queue,21.4,0.457
Anran,Paraíso,Hybrid,Competitive - Role Queue,12.6,0.5329999999999999
Ashe,Paraíso,Hybrid,Competitive - Role Queue,8.7,0.493
Baptiste,Paraíso,Hybrid,Competitive - Role Queue,5.1,0.446
Bastion,Paraíso,Hybrid,Competitive - Role Queue,9.7,0.475
Brigitte,Paraíso,Hybrid,Competitive - Role Queue,5.9,0.5429999999999999
Cassidy,Paraíso,Hybrid,Competitive - Role Queue,10.8,0.47200000000000003
D.Va,Paraíso,Hybrid,Competitive - Role Queue,10.0,0.47200000000000003
Domina,Paraíso,Hybrid,Competitive - Role Queue,8.4,0.506
Doomfist,Paraíso,Hybrid,Competitive - Role Queue,6.2,0.49200000000000005
Echo,Paraíso,Hybrid,Competitive - Role Queue,4.8,0.491
Emre,Paraíso,Hybrid,Competitive - Role Queue,10.2,0.48
Freja,Paraíso,Hybrid,Competitive - Role Queue,3.9,0.449
Genji,Paraíso,Hybrid,Competitive - Role Queue,11.3,0.511
Hanzo,Paraíso,Hybrid,Competitive - Role Queue,6.4,0.484
Hazard,Paraíso,Hybrid,Competitive - Role Queue,4.5,0.523
Illari,Paraíso,Hybrid,Competitive - Role Queue,9.2,0.525
Jetpack Cat,Paraíso,Hybrid,Competitive - Role Queue,11.0,0.485
Junker Queen,Paraíso,Hybrid,Competitive - Role Queue,5.0,0.523
Junkrat,Paraíso,Hybrid,Competitive - Role Queue,8.2,0.504
Juno,Paraíso,Hybrid,Competitive - Role Queue,21.2,0.506
Kiriko,Paraíso,Hybrid,Competitive - Role Queue,22.5,0.48200000000000004
Lifeweaver,Paraíso,Hybrid,Competitive - Role Queue,14.9,0.506
Lúcio,Paraíso,Hybrid,Competitive - Role Queue,8.5,0.525
Mauga,Paraíso,Hybrid,Competitive - Role Queue,6.3,0.502
Mei,Paraíso,Hybrid,Competitive - Role Queue,5.5,0.525
Mercy,Paraíso,Hybrid,Competitive - Role Queue,23.5,0.488
Mizuki,Paraíso,Hybrid,Competitive - Role Queue,15.8,0.523
Moira,Paraíso,Hybrid,Competitive - Role Queue,20.8,0.502
Orisa,Paraíso,Hybrid,Competitive - Role Queue,9.8,0.467
Pharah,Paraíso,Hybrid,Competitive - Role Queue,3.7,0.532
Reaper,Paraíso,Hybrid,Competitive - Role Queue,8.6,0.5379999999999999
Reinhardt,Paraíso,Hybrid,Competitive - Role Queue,10.9,0.5429999999999999
Roadhog,Paraíso,Hybrid,Competitive - Role Queue,8.3,0.457
Sigma,Paraíso,Hybrid,Competitive - Role Queue,8.5,0.507
Sojourn,Paraíso,Hybrid,Competitive - Role Queue,5.4,0.433
Soldier: 76,Paraíso,Hybrid,Competitive - Role Queue,11.6,0.489
Sombra,Paraíso,Hybrid,Competitive - Role Queue,4.1,0.467
Symmetra,Paraíso,Hybrid,Competitive - Role Queue,2.3,0.541
Torbjörn,Paraíso,Hybrid,Competitive - Role Queue,3.4,0.551
Tracer,Paraíso,Hybrid,Competitive - Role Queue,4.4,0.498
Vendetta,Paraíso,Hybrid,Competitive - Role Queue,3.8,0.469
Venture,Paraíso,Hybrid,Competitive - Role Queue,2.6,0.524
Widowmaker,Paraíso,Hybrid,Competitive - Role Queue,5.3,0.451
Winston,Paraíso,Hybrid,Competitive - Role Queue,4.6,0.5329999999999999
Wrecking Ball,Paraíso,Hybrid,Competitive - Role Queue,3.1,0.505
Wuyang,Paraíso,Hybrid,Competitive - Role Queue,9.1,0.501
Zarya,Paraíso,Hybrid,Competitive - Role Queue,4.3,0.46799999999999997
Zenyatta,Paraíso,Hybrid,Competitive - Role Queue,11.2,0.545
Sierra,Colosseo,Push,Competitive - Role Queue,52.9,0.526
Ramattra,Colosseo,Push,Competitive - Role Queue,10.3,0.517
Ana,Colosseo,Push,Competitive - Role Queue,21.4,0.457
Anran,Colosseo,Push,Competitive - Role Queue,12.6,0.5329999999999999
Ashe,Colosseo,Push,Competitive - Role Queue,8.7,0.493
Baptiste,Colosseo,Push,Competitive - Role Queue,5.1,0.446
Bastion,Colosseo,Push,Competitive - Role Queue,9.7,0.475
Brigitte,Colosseo,Push,Competitive - Role Queue,5.9,0.5429999999999999
Cassidy,Colosseo,Push,Competitive - Role Queue,10.8,0.47200000000000003
D.Va,Colosseo,Push,Competitive - Role Queue,10.0,0.47200000000000003
Domina,Colosseo,Push,Competitive - Role Queue,8.4,0.506
Doomfist,Colosseo,Push,Competitive - Role Queue,6.2,0.49200000000000005
Echo,Colosseo,Push,Competitive - Role Queue,4.8,0.491
Emre,Colosseo,Push,Competitive - Role Queue,10.2,0.48
Freja,Colosseo,Push,Competitive - Role Queue,3.9,0.449
Genji,Colosseo,Push,Competitive - Role Queue,11.3,0.511
Hanzo,Colosseo,Push,Competitive - Role Queue,6.4,0.484
Hazard,Colosseo,Push,Competitive - Role Queue,4.5,0.523
Illari,Colosseo,Push,Competitive - Role Queue,9.2,0.525
Jetpack Cat,Colosseo,Push,Competitive - Role Queue,11.0,0.485
Junker Queen,Colosseo,Push,Competitive - Role Queue,5.0,0.523
Junkrat,Colosseo,Push,Competitive - Role Queue,8.2,0.504
Juno,Colosseo,Push,Competitive - Role Queue,21.2,0.506
Kiriko,Colosseo,Push,Competitive - Role Queue,22.5,0.48200000000000004
Lifeweaver,Colosseo,Push,Competitive - Role Queue,14.9,0.506
Lúcio,Colosseo,Push,Competitive - Role Queue,8.5,0.525
Mauga,Colosseo,Push,Competitive - Role Queue,6.3,0.502
Mei,Colosseo,Push,Competitive - Role Queue,5.5,0.525
Mercy,Colosseo,Push,Competitive - Role Queue,23.5,0.488
Mizuki,Colosseo,Push,Competitive - Role Queue,15.8,0.523
Moira,Colosseo,Push,Competitive - Role Queue,20.8,0.502
Orisa,Colosseo,Push,Competitive - Role Queue,9.8,0.467
Pharah,Colosseo,Push,Competitive - Role Queue,3.7,0.532
Reaper,Colosseo,Push,Competitive - Role Queue,8.6,0.5379999999999999
Reinhardt,Colosseo,Push,Competitive - Role Queue,10.9,0.5429999999999999
Roadhog,Colosseo,Push,Competitive - Role Queue,8.3,0.457
Sigma,Colosseo,Push,Competitive - Role Queue,8.5,0.507
Sojourn,Colosseo,Push,Competitive - Role Queue,5.4,0.433
Soldier: 76,Colosseo,Push,Competitive - Role Queue,11.6,0.489
Sombra,Colosseo,Push,Competitive - Role Queue,4.1,0.467
Symmetra,Colosseo,Push,Competitive - Role Queue,2.3,0.541
Torbjörn,Colosseo,Push,Competitive - Role Queue,3.4,0.551
Tracer,Colosseo,Push,Competitive - Role Queue,4.4,0.498
Vendetta,Colosseo,Push,Competitive - Role Queue,3.8,0.469
Venture,Colosseo,Push,Competitive - Role Queue,2.6,0.524
Widowmaker,Colosseo,Push,Competitive - Role Queue,5.3,0.451
Winston,Colosseo,Push,Competitive - Role Queue,4.6,0.5329999999999999
Wrecking Ball,Colosseo,Push,Competitive - Role Queue,3.1,0.505
Wuyang,Colosseo,Push,Competitive - Role Queue,9.1,0.501
Zarya,Colosseo,Push,Competitive - Role Queue,4.3,0.46799999999999997
Zenyatta,Colosseo,Push,Competitive - Role Queue,11.2,0.545
Sierra,Esperança,Push,Competitive - Role Queue,52.9,0.526
Ramattra,Esperança,Push,Competitive - Role Queue,10.3,0.517
Ana,Esperança,Push,Competitive - Role Queue,21.4,0.457
Anran,Esperança,Push,Competitive - Role Queue,12.6,0.5329999999999999
Ashe,Esperança,Push,Competitive - Role Queue,8.7,0.493
Baptiste,Esperança,Push,Competitive - Role Queue,5.1,0.446
Bastion,Esperança,Push,Competitive - Role Queue,9.7,0.475
Brigitte,Esperança,Push,Competitive - Role Queue,5.9,0.5429999999999999
Cassidy,Esperança,Push,Competitive - Role Queue,10.8,0.47200000000000003
D.Va,Esperança,Push,Competitive - Role Queue,10.0,0.47200000000000003
Domina,Esperança,Push,Competitive - Role Queue,8.4,0.506
Doomfist,Esperança,Push,Competitive - Role Queue,6.2,0.49200000000000005
Echo,Esperança,Push,Competitive - Role Queue,4.8,0.491
Emre,Esperança,Push,Competitive - Role Queue,10.2,0.48
Freja,Esperança,Push,Competitive - Role Queue,3.9,0.449
Genji,Esperança,Push,Competitive - Role Queue,11.3,0.511
Hanzo,Esperança,Push,Competitive - Role Queue,6.4,0.484
Hazard,Esperança,Push,Competitive - Role Queue,4.5,0.523
Illari,Esperança,Push,Competitive - Role Queue,9.2,0.525
Jetpack Cat,Esperança,Push,Competitive - Role Queue,11.0,0.485
Junker Queen,Esperança,Push,Competitive - Role Queue,5.0,0.523
Junkrat,Esperança,Push,Competitive - Role Queue,8.2,0.504
Juno,Esperança,Push,Competitive - Role Queue,21.2,0.506
Kiriko,Esperança,Push,Competitive - Role Queue,22.5,0.48200000000000004
Lifeweaver,Esperança,Push,Competitive - Role Queue,14.9,0.506
Lúcio,Esperança,Push,Competitive - Role Queue,8.5,0.525
Mauga,Esperança,Push,Competitive - Role Queue,6.3,0.502
Mei,Esperança,Push,Competitive - Role Queue,5.5,0.525
Mercy,Esperança,Push,Competitive - Role Queue,23.5,0.488
Mizuki,Esperança,Push,Competitive - Role Queue,15.8,0.523
Moira,Esperança,Push,Competitive - Role Queue,20.8,0.502
Orisa,Esperança,Push,Competitive - Role Queue,9.8,0.467
Pharah,Esperança,Push,Competitive - Role Queue,3.7,0.532
Reaper,Esperança,Push,Competitive - Role Queue,8.6,0.5379999999999999
Reinhardt,Esperança,Push,Competitive - Role Queue,10.9,0.5429999999999999
Roadhog,Esperança,Push,Competitive - Role Queue,8.3,0.457
Sigma,Esperança,Push,Competitive - Role Queue,8.5,0.507
Sojourn,Esperança,Push,Competitive - Role Queue,5.4,0.433
Soldier: 76,Esperança,Push,Competitive - Role Queue,11.6,0.489
Sombra,Esperança,Push,Competitive - Role Queue,4.1,0.467
Symmetra,Esperança,Push,Competitive - Role Queue,2.3,0.541
Torbjörn,Esperança,Push,Competitive - Role Queue,3.4,0.551
Tracer,Esperança,Push,Competitive - Role Queue,4.4,0.498
Vendetta,Esperança,Push,Competitive - Role Queue,3.8,0.469
Venture,Esperança,Push,Competitive - Role Queue,2.6,0.524
Widowmaker,Esperança,Push,Competitive - Role Queue,5.3,0.451
Winston,Esperança,Push,Competitive - Role Queue,4.6,0.5329999999999999
Wrecking Ball,Esperança,Push,Competitive - Role Queue,3.1,0.505
Wuyang,Esperança,Push,Competitive - Role Queue,9.1,0.501
Zarya,Esperança,Push,Competitive - Role Queue,4.3,0.46799999999999997
Zenyatta,Esperança,Push,Competitive - Role Queue,11.2,0.545
Sierra,New Queen Street,Push,Competitive - Role Queue,52.9,0.526
Ramattra,New Queen Street,Push,Competitive - Role Queue,10.3,0.517
Ana,New Queen Street,Push,Competitive - Role Queue,21.4,0.457
Anran,New Queen Street,Push,Competitive - Role Queue,12.6,0.5329999999999999
Ashe,New Queen Street,Push,Competitive - Role Queue,8.7,0.493
Baptiste,New Queen Street,Push,Competitive - Role Queue,5.1,0.446
Bastion,New Queen Street,Push,Competitive - Role Queue,9.7,0.475
Brigitte,New Queen Street,Push,Competitive - Role Queue,5.9,0.5429999999999999
Cassidy,New Queen Street,Push,Competitive - Role Queue,10.8,0.47200000000000003
D.Va,New Queen Street,Push,Competitive - Role Queue,10.0,0.47200000000000003
Domina,New Queen Street,Push,Competitive - Role Queue,8.4,0.506
Doomfist,New Queen Street,Push,Competitive - Role Queue,6.2,0.49200000000000005
Echo,New Queen Street,Push,Competitive - Role Queue,4.8,0.491
Emre,New Queen Street,Push,Competitive - Role Queue,10.2,0.48
Freja,New Queen Street,Push,Competitive - Role Queue,3.9,0.449
Genji,New Queen Street,Push,Competitive - Role Queue,11.3,0.511
Hanzo,New Queen Street,Push,Competitive - Role Queue,6.4,0.484
Hazard,New Queen Street,Push,Competitive - Role Queue,4.5,0.523
Illari,New Queen Street,Push,Competitive - Role Queue,9.2,0.525
Jetpack Cat,New Queen Street,Push,Competitive - Role Queue,11.0,0.485
Junker Queen,New Queen Street,Push,Competitive - Role Queue,5.0,0.523
Junkrat,New Queen Street,Push,Competitive - Role Queue,8.2,0.504
Juno,New Queen Street,Push,Competitive - Role Queue,21.2,0.506
Kiriko,New Queen Street,Push,Competitive - Role Queue,22.5,0.48200000000000004
Lifeweaver,New Queen Street,Push,Competitive - Role Queue,14.9,0.506
Lúcio,New Queen Street,Push,Competitive - Role Queue,8.5,0.525
Mauga,New Queen Street,Push,Competitive - Role Queue,6.3,0.502
Mei,New Queen Street,Push,Competitive - Role Queue,5.5,0.525
Mercy,New Queen Street,Push,Competitive - Role Queue,23.5,0.488
Mizuki,New Queen Street,Push,Competitive - Role Queue,15.8,0.523
Moira,New Queen Street,Push,Competitive - Role Queue,20.8,0.502
Orisa,New Queen Street,Push,Competitive - Role Queue,9.8,0.467
Pharah,New Queen Street,Push,Competitive - Role Queue,3.7,0.532
Reaper,New Queen Street,Push,Competitive - Role Queue,8.6,0.5379999999999999
Reinhardt,New Queen Street,Push,Competitive - Role Queue,10.9,0.5429999999999999
Roadhog,New Queen Street,Push,Competitive - Role Queue,8.3,0.457
Sigma,New Queen Street,Push,Competitive - Role Queue,8.5,0.507
Sojourn,New Queen Street,Push,Competitive - Role Queue,5.4,0.433
Soldier: 76,New Queen Street,Push,Competitive - Role Queue,11.6,0.489
Sombra,New Queen Street,Push,Competitive - Role Queue,4.1,0.467
Symmetra,New Queen Street,Push,Competitive - Role Queue,2.3,0.541
Torbjörn,New Queen Street,Push,Competitive - Role Queue,3.4,0.551
Tracer,New Queen Street,Push,Competitive - Role Queue,4.4,0.498
Vendetta,New Queen Street,Push,Competitive - Role Queue,3.8,0.469
Venture,New Queen Street,Push,Competitive - Role Queue,2.6,0.524
Widowmaker,New Queen Street,Push,Competitive - Role Queue,5.3,0.451
Winston,New Queen Street,Push,Competitive - Role Queue,4.6,0.5329999999999999
Wrecking Ball,New Queen Street,Push,Competitive - Role Queue,3.1,0.505
Wuyang,New Queen Street,Push,Competitive - Role Queue,9.1,0.501
Zarya,New Queen Street,Push,Competitive - Role Queue,4.3,0.46799999999999997
Zenyatta,New Queen Street,Push,Competitive - Role Queue,11.2,0.545
Sierra,Runasapi,Push,Competitive - Role Queue,52.9,0.526
Ramattra,Runasapi,Push,Competitive - Role Queue,10.3,0.517
Ana,Runasapi,Push,Competitive - Role Queue,21.4,0.457
Anran,Runasapi,Push,Competitive - Role Queue,12.6,0.5329999999999999
Ashe,Runasapi,Push,Competitive - Role Queue,8.7,0.493
Baptiste,Runasapi,Push,Competitive - Role Queue,5.1,0.446
Bastion,Runasapi,Push,Competitive - Role Queue,9.7,0.475
Brigitte,Runasapi,Push,Competitive - Role Queue,5.9,0.5429999999999999
Cassidy,Runasapi,Push,Competitive - Role Queue,10.8,0.47200000000000003
D.Va,Runasapi,Push,Competitive - Role Queue,10.0,0.47200000000000003
Domina,Runasapi,Push,Competitive - Role Queue,8.4,0.506
Doomfist,Runasapi,Push,Competitive - Role Queue,6.2,0.49200000000000005
Echo,Runasapi,Push,Competitive - Role Queue,4.8,0.491
Emre,Runasapi,Push,Competitive - Role Queue,10.2,0.48
Freja,Runasapi,Push,Competitive - Role Queue,3.9,0.449
Genji,Runasapi,Push,Competitive - Role Queue,11.3,0.511
Hanzo,Runasapi,Push,Competitive - Role Queue,6.4,0.484
Hazard,Runasapi,Push,Competitive - Role Queue,4.5,0.523
Illari,Runasapi,Push,Competitive - Role Queue,9.2,0.525
Jetpack Cat,Runasapi,Push,Competitive - Role Queue,11.0,0.485
Junker Queen,Runasapi,Push,Competitive - Role Queue,5.0,0.523
Junkrat,Runasapi,Push,Competitive - Role Queue,8.2,0.504
Juno,Runasapi,Push,Competitive - Role Queue,21.2,0.506
Kiriko,Runasapi,Push,Competitive - Role Queue,22.5,0.48200000000000004
Lifeweaver,Runasapi,Push,Competitive - Role Queue,14.9,0.506
Lúcio,Runasapi,Push,Competitive - Role Queue,8.5,0.525
Mauga,Runasapi,Push,Competitive - Role Queue,6.3,0.502
Mei,Runasapi,Push,Competitive - Role Queue,5.5,0.525
Mercy,Runasapi,Push,Competitive - Role Queue,23.5,0.488
Mizuki,Runasapi,Push,Competitive - Role Queue,15.8,0.523
Moira,Runasapi,Push,Competitive - Role Queue,20.8,0.502
Orisa,Runasapi,Push,Competitive - Role Queue,9.8,0.467
Pharah,Runasapi,Push,Competitive - Role Queue,3.7,0.532
Reaper,Runasapi,Push,Competitive - Role Queue,8.6,0.5379999999999999
Reinhardt,Runasapi,Push,Competitive - Role Queue,10.9,0.5429999999999999
Roadhog,Runasapi,Push,Competitive - Role Queue,8.3,0.457
Sigma,Runasapi,Push,Competitive - Role Queue,8.5,0.507
Sojourn,Runasapi,Push,Competitive - Role Queue,5.4,0.433
Soldier: 76,Runasapi,Push,Competitive - Role Queue,11.6,0.489
Sombra,Runasapi,Push,Competitive - Role Queue,4.1,0.467
Symmetra,Runasapi,Push,Competitive - Role Queue,2.3,0.541
Torbjörn,Runasapi,Push,Competitive - Role Queue,3.4,0.551
Tracer,Runasapi,Push,Competitive - Role Queue,4.4,0.498
Vendetta,Runasapi,Push,Competitive - Role Queue,3.8,0.469
Venture,Runasapi,Push,Competitive - Role Queue,2.6,0.524
Widowmaker,Runasapi,Push,Competitive - Role Queue,5.3,0.451
Winston,Runasapi,Push,Competitive - Role Queue,4.6,0.5329999999999999
Wrecking Ball,Runasapi,Push,Competitive - Role Queue,3.1,0.505
Wuyang,Runasapi,Push,Competitive - Role Queue,9.1,0.501
Zarya,Runasapi,Push,Competitive - Role Queue,4.3,0.46799999999999997
Zenyatta,Runasapi,Push,Competitive - Role Queue,11.2,0.545
Sierra,New Junk City,Flashpoint,Competitive - Role Queue,52.9,0.526
Ramattra,New Junk City,Flashpoint,Competitive - Role Queue,10.3,0.517
Ana,New Junk City,Flashpoint,Competitive - Role Queue,21.4,0.457
Anran,New Junk City,Flashpoint,Competitive - Role Queue,12.6,0.5329999999999999
Ashe,New Junk City,Flashpoint,Competitive - Role Queue,8.7,0.493
Baptiste,New Junk City,Flashpoint,Competitive - Role Queue,5.1,0.446
Bastion,New Junk City,Flashpoint,Competitive - Role Queue,9.7,0.475
Brigitte,New Junk City,Flashpoint,Competitive - Role Queue,5.9,0.5429999999999999
Cassidy,New Junk City,Flashpoint,Competitive - Role Queue,10.8,0.47200000000000003
D.Va,New Junk City,Flashpoint,Competitive - Role Queue,10.0,0.47200000000000003
Domina,New Junk City,Flashpoint,Competitive - Role Queue,8.4,0.506
Doomfist,New Junk City,Flashpoint,Competitive - Role Queue,6.2,0.49200000000000005
Echo,New Junk City,Flashpoint,Competitive - Role Queue,4.8,0.491
Emre,New Junk City,Flashpoint,Competitive - Role Queue,10.2,0.48
Freja,New Junk City,Flashpoint,Competitive - Role Queue,3.9,0.449
Genji,New Junk City,Flashpoint,Competitive - Role Queue,11.3,0.511
Hanzo,New Junk City,Flashpoint,Competitive - Role Queue,6.4,0.484
Hazard,New Junk City,Flashpoint,Competitive - Role Queue,4.5,0.523
Illari,New Junk City,Flashpoint,Competitive - Role Queue,9.2,0.525
Jetpack Cat,New Junk City,Flashpoint,Competitive - Role Queue,11.0,0.485
Junker Queen,New Junk City,Flashpoint,Competitive - Role Queue,5.0,0.523
Junkrat,New Junk City,Flashpoint,Competitive - Role Queue,8.2,0.504
Juno,New Junk City,Flashpoint,Competitive - Role Queue,21.2,0.506
Kiriko,New Junk City,Flashpoint,Competitive - Role Queue,22.5,0.48200000000000004
Lifeweaver,New Junk City,Flashpoint,Competitive - Role Queue,14.9,0.506
Lúcio,New Junk City,Flashpoint,Competitive - Role Queue,8.5,0.525
Mauga,New Junk City,Flashpoint,Competitive - Role Queue,6.3,0.502
Mei,New Junk City,Flashpoint,Competitive - Role Queue,5.5,0.525
Mercy,New Junk City,Flashpoint,Competitive - Role Queue,23.5,0.488
Mizuki,New Junk City,Flashpoint,Competitive - Role Queue,15.8,0.523
Moira,New Junk City,Flashpoint,Competitive - Role Queue,20.8,0.502
Orisa,New Junk City,Flashpoint,Competitive - Role Queue,9.8,0.467
Pharah,New Junk City,Flashpoint,Competitive - Role Queue,3.7,0.532
Reaper,New Junk City,Flashpoint,Competitive - Role Queue,8.6,0.5379999999999999
Reinhardt,New Junk City,Flashpoint,Competitive - Role Queue,10.9,0.5429999999999999
Roadhog,New Junk City,Flashpoint,Competitive - Role Queue,8.3,0.457
Sigma,New Junk City,Flashpoint,Competitive - Role Queue,8.5,0.507
Sojourn,New Junk City,Flashpoint,Competitive - Role Queue,5.4,0.433
Soldier: 76,New Junk City,Flashpoint,Competitive - Role Queue,11.6,0.489
Sombra,New Junk City,Flashpoint,Competitive - Role Queue,4.1,0.467
Symmetra,New Junk City,Flashpoint,Competitive - Role Queue,2.3,0.541
Torbjörn,New Junk City,Flashpoint,Competitive - Role Queue,3.4,0.551
Tracer,New Junk City,Flashpoint,Competitive - Role Queue,4.4,0.498
Vendetta,New Junk City,Flashpoint,Competitive - Role Queue,3.8,0.469
Venture,New Junk City,Flashpoint,Competitive - Role Queue,2.6,0.524
Widowmaker,New Junk City,Flashpoint,Competitive - Role Queue,5.3,0.451
Winston,New Junk City,Flashpoint,Competitive - Role Queue,4.6,0.5329999999999999
Wrecking Ball,New Junk City,Flashpoint,Competitive - Role Queue,3.1,0.505
Wuyang,New Junk City,Flashpoint,Competitive - Role Queue,9.1,0.501
Zarya,New Junk City,Flashpoint,Competitive - Role Queue,4.3,0.46799999999999997
Zenyatta,New Junk City,Flashpoint,Competitive - Role Queue,11.2,0.545
Sierra,Suravasa,Flashpoint,Competitive - Role Queue,52.9,0.526
Ramattra,Suravasa,Flashpoint,Competitive - Role Queue,10.3,0.517
Ana,Suravasa,Flashpoint,Competitive - Role Queue,21.4,0.457
Anran,Suravasa,Flashpoint,Competitive - Role Queue,12.6,0.5329999999999999
Ashe,Suravasa,Flashpoint,Competitive - Role Queue,8.7,0.493
Baptiste,Suravasa,Flashpoint,Competitive - Role Queue,5.1,0.446
Bastion,Suravasa,Flashpoint,Competitive - Role Queue,9.7,0.475
Brigitte,Suravasa,Flashpoint,Competitive - Role Queue,5.9,0.5429999999999999
Cassidy,Suravasa,Flashpoint,Competitive - Role Queue,10.8,0.47200000000000003
D.Va,Suravasa,Flashpoint,Competitive - Role Queue,10.0,0.47200000000000003
Domina,Suravasa,Flashpoint,Competitive - Role Queue,8.4,0.506
Doomfist,Suravasa,Flashpoint,Competitive - Role Queue,6.2,0.49200000000000005
Echo,Suravasa,Flashpoint,Competitive - Role Queue,4.8,0.491
Emre,Suravasa,Flashpoint,Competitive - Role Queue,10.2,0.48
Freja,Suravasa,Flashpoint,Competitive - Role Queue,3.9,0.449
Genji,Suravasa,Flashpoint,Competitive - Role Queue,11.3,0.511
Hanzo,Suravasa,Flashpoint,Competitive - Role Queue,6.4,0.484
Hazard,Suravasa,Flashpoint,Competitive - Role Queue,4.5,0.523
Illari,Suravasa,Flashpoint,Competitive - Role Queue,9.2,0.525
Jetpack Cat,Suravasa,Flashpoint,Competitive - Role Queue,11.0,0.485
Junker Queen,Suravasa,Flashpoint,Competitive - Role Queue,5.0,0.523
Junkrat,Suravasa,Flashpoint,Competitive - Role Queue,8.2,0.504
Juno,Suravasa,Flashpoint,Competitive - Role Queue,21.2,0.506
Kiriko,Suravasa,Flashpoint,Competitive - Role Queue,22.5,0.48200000000000004
Lifeweaver,Suravasa,Flashpoint,Competitive - Role Queue,14.9,0.506
Lúcio,Suravasa,Flashpoint,Competitive - Role Queue,8.5,0.525
Mauga,Suravasa,Flashpoint,Competitive - Role Queue,6.3,0.502
Mei,Suravasa,Flashpoint,Competitive - Role Queue,5.5,0.525
Mercy,Suravasa,Flashpoint,Competitive - Role Queue,23.5,0.488
Mizuki,Suravasa,Flashpoint,Competitive - Role Queue,15.8,0.523
Moira,Suravasa,Flashpoint,Competitive - Role Queue,20.8,0.502
Orisa,Suravasa,Flashpoint,Competitive - Role Queue,9.8,0.467
Pharah,Suravasa,Flashpoint,Competitive - Role Queue,3.7,0.532
Reaper,Suravasa,Flashpoint,Competitive - Role Queue,8.6,0.5379999999999999
Reinhardt,Suravasa,Flashpoint,Competitive - Role Queue,10.9,0.5429999999999999
Roadhog,Suravasa,Flashpoint,Competitive - Role Queue,8.3,0.457
Sigma,Suravasa,Flashpoint,Competitive - Role Queue,8.5,0.507
Sojourn,Suravasa,Flashpoint,Competitive - Role Queue,5.4,0.433
Soldier: 76,Suravasa,Flashpoint,Competitive - Role Queue,11.6,0.489
Sombra,Suravasa,Flashpoint,Competitive - Role Queue,4.1,0.467
Symmetra,Suravasa,Flashpoint,Competitive - Role Queue,2.3,0.541
Torbjörn,Suravasa,Flashpoint,Competitive - Role Queue,3.4,0.551
Tracer,Suravasa,Flashpoint,Competitive - Role Queue,4.4,0.498
Vendetta,Suravasa,Flashpoint,Competitive - Role Queue,3.8,0.469
Venture,Suravasa,Flashpoint,Competitive - Role Queue,2.6,0.524
Widowmaker,Suravasa,Flashpoint,Competitive - Role Queue,5.3,0.451
Winston,Suravasa,Flashpoint,Competitive - Role Queue,4.6,0.5329999999999999
Wrecking Ball,Suravasa,Flashpoint,Competitive - Role Queue,3.1,0.505
Wuyang,Suravasa,Flashpoint,Competitive - Role Queue,9.1,0.501
Zarya,Suravasa,Flashpoint,Competitive - Role Queue,4.3,0.46799999999999997
Zenyatta,Suravasa,Flashpoint,Competitive - Role Queue,11.2,0.545
